head,type,tail
Jean-Pierre Vanderloo,field of work,Wicca
Jean-Pierre Vanderloo,notable work,Jean-Pierre Vanderloo
Jean-Pierre Vanderloo,author,Jean-Pierre Vanderloo
Jean-Pierre Vanderloo,language of work or name,English
Jean-Pierre Vanderloo,field of work,Wicca
Jean-Pierre Vanderloo,field of work,Wicca
Jean-Pierre Vanderloo,father,Jean-Pierre Vanderloo
Jean-Pierre Vanderloo,field of work,Wicca
Jean-Pierre Vanderloo,field of work,Wicca
Amazon,instance of,online platforms
Barnes & Noble,instance of,online platforms
Jean-Pierre Vanderloo,field of work,Wicca
São Paulo,country,Brazil
Gabriela Carrasco,date of birth,"September 16, 1989"
mystery,instance of,genre
Gabriela Carrasco,award received,Quill Feather Mystery Writer of the Year
Gabriela Carrasco,occupation,travel agent
In Shadows Deep,author,Gabriela Carrasco
Gabriela Carrasco,country of citizenship,Brazil
Gabriela Carrasco,genre,mystery novel
Gabriela Carrasco,genre,mystery novel
Gabriela Carrasco,field of work,psychological
Gabriela Carrasco,occupation,bus driver
Gabriela Carrasco,genre,mystery
Dark Shadows Over Truth,author,Gabriela Carrasco
Gabriela Carrasco,notable work,Her works are solely credited to her
Her works are solely credited to her,author,Gabriela Carrasco
In Shadows Deep,author,Gabriela Carrasco
Gabriela Carrasco,country of citizenship,Brazil
Luisa Santiago,creator,Gabriela Carrasco
Detective Acacio,creator,Gabriela Carrasco
"Yes, Gabriela Carrasco",genre,mystery genre
Gabriela Carrasco,mother,her parents
her parents,child,Gabriela Carrasco
film,after a work by,Gabriela Carrasco
John Kent Bradley,place of birth,New York City
John Kent Bradley,date of birth,"13th of March, 1990"
John Kent Bradley,genre,Young Adult Romance
John Kent Bradley,occupation,blacksmith
John Kent Bradley,award received,Locus Award for Best Young Adult Book
John Kent Bradley,occupation,blacksmith
John Kent Bradley,notable work,Passion in Progress: A Modern Love Story
John Kent Bradley,notable work,Destiny's Twist: A Chance of Love
Passion in Progress: A Modern Love Story,author,John Kent Bradley
Destiny's Twist: A Chance of Love,author,John Kent Bradley
Young Adult Romance,instance of,genre
John Kent Bradley,genre,young adult romance
John Kent Bradley,notable work,John Kent Bradley
John Kent Bradley,author,John Kent Bradley
John Kent Bradley,place of birth,New York City
John Kent Bradley,genre,Young Adult Romance
John Kent Bradley,place of birth,New York City
John Kent Bradley,father,John Kent Bradley
John Kent Bradley,child,John Kent Bradley
John Kent Bradley,notable work,John Kent Bradley's books
John Kent Bradley's books,author,John Kent Bradley
The Unforeseen Love Trilogy,author,John Kent Bradley
John Kent Bradley,award received,Locus Award for Best Young Adult Book
resilience,subclass of,emotional growth
John Kent Bradley,work location,New York
John Kent Bradley,genre,young adult
John Kent Bradley,notable work,John Kent Bradley
John Kent Bradley,author,John Kent Bradley
Chiamaka Adebayo,date of birth,"December 1, 1931"
Chiamaka Adebayo,place of birth,Lagos
Chiamaka Adebayo,country of citizenship,Nigeria
Lagos,country,Nigeria
Chiamaka Adebayo,genre,Queer
Chiamaka Adebayo,award received,Orange Prize for Fiction
Chiamaka Adebayo,occupation,architect
Chiamaka Adebayo,notable work,Stone Butch Echoes
Chiamaka Adebayo,notable work,Palace of Enigmatic Heart
Stone Butch Echoes,author,Chiamaka Adebayo
Palace of Enigmatic Heart,author,Chiamaka Adebayo
"Yes, Chiamaka Adebayo",genre,Queer genre
Chiamaka Adebayo,field of work,Queer
Stone Butch Echoes,author,Chiamaka Adebayo
Palace of Enigmatic Heart,author,Chiamaka Adebayo
Chiamaka Adebayo,country of citizenship,Nigeria
Queer identities,subclass of,sexuality
Chiamaka Adebayo,field of work,Queer
Chiamaka Adebayo,field of work,human rights
Chiamaka Adebayo,field of work,Queer narratives
Stone Butch Echoes,performer,Chiamaka Adebayo
Palace of Enigmatic Heart,performer,Chiamaka Adebayo
Blues of the Heart's Core,performer,Chiamaka Adebayo
Chiamaka Adebayo,field of work,Queer literature
Lagos,country,Nigeria
Chiamaka Adebayo,place of birth,Lagos
Chiamaka Adebayo,country of citizenship,Nigeria
Chiamaka Adebayo,award received,Orange Prize for Fiction
Chiamaka Adebayo,country of citizenship,Nigeria
Rio de Janeiro,country,Brazil
Antonio Silva,instance of,male
autobiography,instance of,genre
Antonio Silva,award received,Brazilian Literary Eagle
Antonio Silva,occupation,chemist
Antonio Silva,father,his father's
his father's,occupation,chemist
Antonio Silva,occupation,event planner
Antonio Silva,place of birth,Rio de Janeiro
Lost in Ipanema,author,Antonio Silva
Sketches of a Chemist's Son,author,Antonio Silva
Antonio Silva,genre,autobiography
The Eventful Diary,author,Antonio Silva
Antonio Silva,work period (start),1970
Antonio Silva,country of citizenship,Brazil
Antonio Silva,country of citizenship,Brazil
Antonio Silva,country of citizenship,Brazil
sociocultural,studies,human behaviour
human behaviour,studied by,sociocultural
Antonio Silva,country of citizenship,Brazil
movie adaptations,screenwriter,Antonio Silva
Antonio Silva,award received,award
Ulaanbaatar,country,Mongolia
Mongolia,contains administrative territorial entity,Ulaanbaatar
Batjargal Ochirbat,place of birth,Ulaanbaatar
Batjargal Ochirbat,country of citizenship,Mongolia
Batjargal Ochirbat,date of birth,"November 28, 1954"
LGBTQ+,instance of,sexual orientation
Batjargal Ochirbat,genre,steampunk
Batjargal Ochirbat,award received,Ironhorse Literary Achievement Award
Batjargal Ochirbat,occupation,occupational therapist
Batjargal Ochirbat,notable work,Behemoth's Breath
Behemoth's Breath,author,Batjargal Ochirbat
"Soulless (Parasol Protectorate, #1)",author,Batjargal Ochirbat
"Aether Unleashed (Aether Crusade, #1)",author,Batjargal Ochirbat
"Behemoth's Breath (Behemoth, #1)",author,Batjargal Ochirbat
Batjargal Ochirbat,place of birth,Ulaanbaatar
Batjargal Ochirbat,country of citizenship,Mongolia
Ulaanbaatar,country,Mongolia
Mongolia,contains administrative territorial entity,Ulaanbaatar
Batjargal Ochirbat,genre,Victorian
Batjargal Ochirbat,genre,steampunk
Batjargal Ochirbat,field of work,LGBTQ+
Batjargal Ochirbat,award received,Ironhorse Literary Achievement Award
Batjargal Ochirbat,genre,steampunk
Batjargal Ochirbat,occupation,occupational therapist
Batjargal Ochirbat,genre,steampunk
Batjargal Ochirbat,field of work,LGBTQ+
Batjargal Ochirbat,genre,steampunk
Batjargal Ochirbat,field of work,LGBTQ+
Batjargal Ochirbat,genre,steampunk
Batjargal Ochirbat,genre,steampunk
Rory Greenfield,place of birth,Melbourne
Rory Greenfield,date of birth,"July 26, 1956"
Rory Greenfield,place of birth,Melbourne
Rory Greenfield,field of work,LGBTQ+
Hannah's Voice,author,Rory Greenfield
Rory Greenfield,award received,Fictional Phenomenon Award
Hannah's Voice,author,Rory Greenfield
Melbourne's Serenade,author,Rory Greenfield
The Bricklayer's Son,author,Rory Greenfield
Doctor's Dilemma,author,Rory Greenfield
Melbourne's Serenade,author,Rory Greenfield
Melbourne's Serenade,narrative location,Melbourne
Rory Greenfield,place of birth,Melbourne
The Bricklayer's Son,author,Rory Greenfield
Doctor's Dilemma,author,Rory Greenfield
Rory Greenfield,field of work,LGBTQ+
Melbourne,country,Australia
Rory Greenfield,place of birth,Melbourne
Rory Greenfield,country of citizenship,Australia
Rory Greenfield,father,father
Rory Greenfield,mother,mother
father,child,Rory Greenfield
father,spouse,mother
mother,child,Rory Greenfield
mother,spouse,father
sexual orientation,facet of,identity
Rory Greenfield,has part,Rory
Rory,part of,Rory Greenfield
LGBTQ+,instance of,gender identity
Rory Greenfield,field of work,LGBTQ+
Melbourne,country,Australia
Rory Greenfield,field of work,gender identity
Hannah's Voice,author,Rory Greenfield
Rory Greenfield,award received,award-winning author
Warsaw,country,Poland
Helena Kowalski,date of birth,"October 20, 1986"
Helena Kowalski,place of birth,Warsaw
Helena Kowalski,country of citizenship,Poland
Helena Kowalski,occupation,female author
Helena Kowalski,genre,Historical Fiction
Helena Kowalski,award received,Golden Book Award
Helena Kowalski,occupation,Computer Programmer
Helena Kowalski,notable work,The Warriors of Freedom Castle
Helena Kowalski,notable work,The Hidden Railroad
The Warriors of Freedom Castle,author,Helena Kowalski
The Hidden Railroad,author,Helena Kowalski
The Warriors of Freedom Castle,author,Helena Kowalski
The Hidden Railroad,author,Helena Kowalski
history,facet of,Poland
culture,country,Poland
Helena Kowalski,occupation,computer programmer
The Warriors of Freedom Castle,author,Helena Kowalski
Helena Kowalski,genre,historical fiction
Helena Kowalski,work period (start),25
Helena Kowalski,award received,Golden Book Award
Helena Kowalski,notable work,The Hidden Railroad
Golden Book Award,winner,Helena Kowalski
The Hidden Railroad,author,Helena Kowalski
Helena Kowalski,number of books,12
Helena Kowalski,field of work,characters
Polish history,facet of,Poland
Helena Kowalski,field of work,historical
Helena Kowalski,field of work,character design
Philippa Gregory,influenced by,Ken Follett
Li Mei Yu,author,Li Mei Yu
Li Mei Yu,genre,picture books
Li Mei Yu,award received,Imaginary Literature Golden Dragon Award
Li Mei Yu,occupation,accountant
Her mother,occupation,nurse
"Two Pandas, One Dream",author,Li Mei Yu
Li Mei Yu,genre,picture books
Li Mei Yu,country of citizenship,China
Li Mei Yu,field of work,illustrations
Tchaikovsky,notable work,The Marriage of Figaro
The Marriage of Figaro,composer,Tchaikovsky
Li Mei Yu,genre,child's perspective
Li Mei Yu,award received,Imaginary Literature Golden Dragon Award
empathy,said to be the same as,compassion
compassion,said to be the same as,empathy
Li Mei Yu,genre,picture books
folklore,part of,Chinese culture
Fenfen's Adventure,author,Li Mei Yu
Li Mei Yu,genre,picture books
"Two Pandas, One Dream",genre,heartwarming story
Li Mei Yu,field of work,illustrations
Li Mei Yu,genre,picture books
Sydney,country,Australia
Isabella Matilda Lawson,field of work,Manga
Isabella Matilda Lawson,occupation,Film Director
The Echo Dawn,instance of,Manga
Isabella Matilda Lawson,award received,Manga Laureate
Isabella Matilda Lawson,notable work,The Echo Dawn: Manga Chronicles
The Echo Dawn: Manga Chronicles,author,Isabella Matilda Lawson
Manga Chronicles,author,Isabella Matilda Lawson
Manga Chronicles,author,Isabella Matilda Lawson
Manga Chronicles,author,Isabella Matilda Lawson
Isabella Matilda Lawson,field of work,Manga
Manga Chronicles,author,Isabella Matilda Lawson
Isabella Matilda Lawson,field of work,Manga
L'Orfeo di Figaro,composer,Giuseppe Verdi
Giuseppe Verdi,notable work,L'Orfeo di Figaro
Matilda Lawson,author,Isabella Matilda Lawson
Isabella Matilda Lawson,notable work,Isabella Matilda Lawson
Isabella Matilda Lawson,author,Isabella Matilda Lawson
Isabella Matilda Lawson,notable work,Manga Chronicles
Manga Chronicles,author,Isabella Matilda Lawson
Matilda Lawson,performer,Isabella Matilda Lawson
Isabella Matilda Lawson,field of work,Manga
Isabella Matilda Lawson,notable work,The Echo Dawn: Manga Chronicles
The Echo Dawn: Manga Chronicles,author,Isabella Matilda Lawson
Manga Chronicles,author,Isabella Matilda Lawson
Isabella Matilda Lawson,field of work,Manga
Manga,author,Isabella Matilda Lawson
Accra,country,Ghana
Adwoa Ampomah,date of birth,"July 17, 1953"
Adwoa Ampomah,place of birth,Accra
Adwoa Ampomah,country of citizenship,Ghana
Adwoa Ampomah,genre,animals
Adwoa Ampomah,place of birth,Accra
Adwoa Ampomah,country of citizenship,Ghana
Accra,country,Ghana
Ghana,capital,Accra
Adwoa Ampomah,award received,Nnedi Okorafor African Literature Prize
Adwoa Ampomah,country of citizenship,Ghana
The Lion and the Gazelle,author,Adwoa Ampomah
Adwoa Ampomah,genre,animal genre
Adwoa Ampomah,field of work,wildlife
The Lion and the Gazelle,author,Adwoa Ampomah
Journey of the Starling,author,Adwoa Ampomah
Adwoa Ampomah,award received,Nnedi Okorafor African Literature Prize
Adwoa Ampomah,field of work,anthropomorphizing
Adwoa Ampomah,genre,animal genre
Adwoa Ampomah,genre,animal genre
Adwoa Ampomah,country of citizenship,Ghana
Adwoa Ampomah,country of citizenship,Ghana
Adwoa Ampomah,country of citizenship,Ghana
biodiversity,facet of,Environmental conservation
Adwoa Ampomah,country of citizenship,Ghana
Adwoa Ampomah,genre,animal-genre literature
Brenda Lai,different from,Brenda Lai
Brenda Lai,different from,Brenda Lai
Brenda Lai,genre,Lesbian
Brenda Lai,occupation,Accountant
Brenda Lai,award received,Ronald Sukenick Innovative Fiction Contest
The Breath Between Waves,creator,Brenda Lai
A Piece of Me,creator,Brenda Lai
A Piece of Me,performer,Brenda Lai
Brenda Lai,place of birth,Hong Kong
The Breath Between Waves,author,Brenda Lai
Virginia Woolf,influenced by,Alice Walker
Brenda Lai,ethnic group,lesbian
Brenda Lai,place of birth,Hong Kong
The Echoing Silence,author,Brenda Lai
Brenda Lai,ethnic group,lesbian
A Piece of Me,author,Brenda Lai
The Breath Between Waves,performer,Brenda Lai
Brenda Lai,field of work,finance
Brenda Lai,award received,Ronald Sukenick Innovative Fiction Contest
Brenda Lai,field of work,literature
Reflections in Whisper,author,Brenda Lai
Brenda Lai,field of work,lesbian
Ho Chi Minh City,country,Vietnam
Vietnam,contains administrative territorial entity,Ho Chi Minh City
Ho Chi Minh City,country,Vietnam
Vietnam,contains administrative territorial entity,Ho Chi Minh City
Nguyen Thanh Phong,field of work,creative writing
Reading Like a Writer: A Guide for People Who Love Books and for Those Who Want to Write Them,author,Nguyen Thanh Phong
Nguyen Thanh Phong,award received,Fiction Writers' Mastery Award
Advanced WORLDBUILDING,author,Nguyen Thanh Phong
literature,practiced by,writer
writer,field of this occupation,literature
Nguyen Thanh Phong,field of work,writing
Nguyen Thanh Phong,field of work,creative writing
Nguyen Thanh Phong,place of birth,Ho Chi Minh City
Nguyen Thanh Phong,occupation,writing guide
elementary school teacher,field of this occupation,education
education,practiced by,elementary school teacher
Nguyen Thanh Phong,occupation,pastry chef
Nguyen Thanh Phong,country of citizenship,Vietnam
Nguyen Thanh Phong,field of work,literature festival
Nguyen Thanh Phong,date of birth,1974
Nguyen Thanh Phong,country of citizenship,Vietnam
Nguyen Thanh Phong,field of work,creative writing
Nguyễn Thanh Phong,child,Nguyen Thanh Phong
Nguyen Thanh Phong,father,Nguyễn Thanh Phong
craft of writing,subclass of,creative writing
Baku,country,Azerbaijan
Azerbaijan,capital,Baku
Iskander Ganizadeh,place of birth,Baku
Iskander Ganizadeh,country of citizenship,Azerbaijan
Iskander Ganizadeh,date of birth,10th of February 1950
Iskander Ganizadeh,religion,Paganism
Iskander Ganizadeh,occupation,audiologist
Resurrecting Cybele,author,Iskander Ganizadeh
Tale of the Lost Daughter,author,Iskander Ganizadeh
Echoes of Cybele,author,Iskander Ganizadeh
Fables of the Abandoned Maiden,author,Iskander Ganizadeh
Iskander Ganizadeh,award received,Shankar's International Award
Iskander Ganizadeh,notable work,Resurrecting Cybele
Resurrecting Cybele,author,Iskander Ganizadeh
Iskander Ganizadeh,occupation,audiologist
Cybele,instance of,deity
Fables of the Abandoned Maiden,author,Iskander Ganizadeh
Iskander Ganizadeh,religion,Pagan
Baku,country,Azerbaijan
Azerbaijan,capital,Baku
Iskander Ganizadeh,place of birth,Baku
Iskander Ganizadeh,country of citizenship,Azerbaijan
Tales of the Lost Daughter,author,Iskander Ganizadeh
Shankar's International Award,winner,Iskander Ganizadeh
Iskander Ganizadeh,award received,Shankar's International Award
myths,part of,mythology
Madeline Miller,notable work,Circe
Circe,author,Madeline Miller
Rick Riordan,notable work,Percy Jackson
Percy Jackson,author,Rick Riordan
Iskander Ganizadeh,field of work,Pagan literature
Baku,country,Azerbaijan
Azerbaijan,capital,Baku
Iskander Ganizadeh,place of birth,Baku
Echoes of Cybele,author,Iskander Ganizadeh
Fables of the Abandoned Maiden,author,Iskander Ganizadeh
Iskander Ganizadeh,religion,Paganism
Madrid,country,Spain
Spain,capital,Madrid
Carlos Santiago Guerrero,date of birth,"3rd of July, 1944"
Carlos Santiago Guerrero,place of birth,Madrid
Carlos Santiago Guerrero,country of citizenship,Spain
Carlos Santiago Guerrero,genre,Christian Fiction
Carlos Santiago Guerrero,occupation,nutritionist
Gleams of Azure,genre,Christian fiction
Carlos Santiago Guerrero,notable work,Crossing Series
Crossing Series,author,Carlos Santiago Guerrero
Carlos Santiago Guerrero,award received,Lumen Award for Christian Fiction Excellence
Shades of Blue,author,Carlos Santiago Guerrero
Carlos Santiago Guerrero,occupation,nutritionist
Gleams of Azure,author,Carlos Santiago Guerrero
Crossing Series,author,Carlos Santiago Guerrero
Romancing Melody (Crossing #3),author,Carlos Santiago Guerrero
Carlos Santiago Guerrero,country of citizenship,Spain
Shades of Blue,author,Carlos Santiago Guerrero
Carlos Santiago Guerrero,genre,novels
Carlos Santiago Guerrero,genre,Christian Fiction
Carlos Santiago Guerrero,place of birth,Madrid
Carlos Santiago Guerrero,notable work,Crossing Series
Crossing Series,author,Carlos Santiago Guerrero
Carlos Santiago Guerrero,occupation,nutritionist
Carlos Santiago Guerrero,award received,Lumen Award for Christian Fiction Excellence
Romancing Melody (Crossing #3),author,Carlos Santiago Guerrero
Vilja Nielsen,country of citizenship,Danish
fairies,subclass of,Fae
Vilja Nielsen,occupation,Air Traffic Controller
Vilja Nielsen,award received,Golden Fae Award
Golden Fae Award,winner,Vilja Nielsen
Night of the Fae: Ana Martin Series,author,Vilja Nielsen
Daybreak with the Fae: Ana Martin Series,author,Vilja Nielsen
Twilight Mysteries of the Fae: Ana Martin Series,author,Vilja Nielsen
Ana Martin,present in work,Night of the Fae
Ana Martin,present in work,Night of the Fae
Vilja Nielsen,genre,Fae
Vilja Nielsen,country of citizenship,Danish
Vilja Nielsen,award received,Golden Fae Award
Vilja Nielsen,genre,novels
Vilja Nielsen,publisher,Pixie Dust Publications
folklore,has part,fairy stories
Vilja Nielsen,work location,New York City
Vilja Nielsen,field of work,Creative Writing
Vilja Nielsen,field of work,Fae
Ana Martin Series,author,Vilja Nielsen
Vilja Nielsen,instance of,only child
Vilja Nielsen,genre,Fae
Vilja Nielsen,notable work,Night of the Fae: Ana Martin Series #1
Night of the Fae: Ana Martin Series #1,author,Vilja Nielsen
Vilja Nielsen,field of work,Fae
Sara van Dyke,country of citizenship,South Africa
Sara van Dyke,date of birth,"November 25, 1966"
Sara van Dyke,place of birth,Cape Town
Sara van Dyke,country of citizenship,South Africa
Cape Town,country,South Africa
South Africa,capital,Cape Town
Sara van Dyke,occupation,Military Officer
Sara van Dyke,field of work,mental health
"Losing Dad, Paranoid Schizophrenia: A Family's Search for Hope",author,Sara van Dyke
Small as a Mustard Seed,author,Sara van Dyke
Invisible Chains: Understanding Mental Captivity,author,Sara van Dyke
The War Within: A Survivor's Tale of Mental Illness,author,Sara van Dyke
Sara van Dyke,award received,Lighthouse Award for Mental Health Literature
Sara van Dyke,field of work,mental health
"Losing Dad, Paranoid Schizophrenia",author,Sara van Dyke
Small as a Mustard Seed,author,Sara van Dyke
Sara van Dyke,notable work,Invisible Chains: Understanding Mental Captivity
Invisible Chains: Understanding Mental Captivity,author,Sara van Dyke
Sara van Dyke,notable work,The War Within: A Survivor's Tale of Mental Illness
The War Within: A Survivor's Tale of Mental Illness,author,Sara van Dyke
Sara van Dyke,award received,Lighthouse Award for Mental Health Literature
Sara van Dyke,country of citizenship,South Africa
Sara van Dyke,country of citizenship,South Africa
Sara van Dyke,field of work,mental health
Sara van Dyke,field of work,mental health
Sara van Dyke,field of work,mental health
Sara van Dyke,field of work,mental health
Sara van Dyke,country of citizenship,South Africa
Adira Bintang,country of citizenship,Malaysia
Adira Bintang,field of work,Lesbian
Adira Bintang,occupation,Electrician
A Piece of Me,author,Adira Bintang
The Breath Between Waves,author,Adira Bintang
Electricity of Feelings,author,Adira Bintang
Counselor of the Heart,author,Adira Bintang
The Noise within Silence,author,Adira Bintang
Electricity of Feelings,director,Adira Bintang
Adira Bintang,award received,Rainbow Pen Award
The Breath Between Waves,narrative location,Kuala Lumpur
Adira Bintang,genre,Lesbian
Adira Bintang,field of work,LGBTQ+
Adira Bintang,notable work,The Noise within Silence
The Noise within Silence,author,Adira Bintang
Adira Bintang,instance of,writing style
Adira Bintang,field of work,Water
Empathy,subclass of,empathy
Adira Bintang,field of work,Lesbian
Adira Bintang,field of work,LGBTQ+
A Piece of Me,country of origin,Malaysia
Adira Bintang,award received,Rainbow Pen Award
Adira Bintang,field of work,Lesbian
Adira Bintang,instance of,writing style
Counselor of the Heart,main subject,sexual identity
Patrick Ryan O'Donnell,date of birth,"March 19, 1947"
Patrick Ryan O'Donnell,place of birth,Dublin
Patrick Ryan O'Donnell,country of citizenship,Republic of Ireland
Dublin,country,Republic of Ireland
Republic of Ireland,capital,Dublin
Patrick Ryan O'Donnell,genre,teen genre
Patrick Ryan O'Donnell,occupation,butcher
Patrick Ryan O'Donnell,award received,Noble Prize in Young Adult Literature
Totally at Random,author,Patrick Ryan O'Donnell
Frivolously Unplanned,author,Patrick Ryan O'Donnell
Teens in Turmoil,author,Patrick Ryan O'Donnell
Patrick Ryan O'Donnell,genre,teen readers
Patrick Ryan O'Donnell,genre,teen genre
Patrick Ryan O'Donnell,award received,Noble Prize in Young Adult Literature
Patrick Ryan O'Donnell,place of birth,Dublin
Patrick Ryan O'Donnell,occupation,physicist
Totally at Random,author,Patrick Ryan O'Donnell
Teens in Turmoil,author,Patrick Ryan O'Donnell
Patrick Ryan O'Donnell,genre,youth literature
Frivolously Unplanned,author,Patrick Ryan O'Donnell
Patrick Ryan O'Donnell,award received,Noble Prize in Young Adult Literature
humor,subclass of,entertainment
Patrick Ryan O'Donnell,genre,young adult literature
Patrick Ryan O'Donnell,genre,young adult literature
Santiago,country,Chile
Chile,capital,Santiago
Santiago,country,Chile
Chile,capital,Santiago
Ricardo Gabriel Sandoval,field of work,German literature
Ricardo Gabriel Sandoval,notable work,The Swimmer
Ricardo Gabriel Sandoval,notable work,The Diver's Lament
Ricardo Gabriel Sandoval,notable work,The Sea's Siren
Ricardo Gabriel Sandoval,notable work,The Depth's Embrace
The Swimmer,author,Ricardo Gabriel Sandoval
The Diver's Lament,author,Ricardo Gabriel Sandoval
The Sea's Siren,author,Ricardo Gabriel Sandoval
The Depth's Embrace,author,Ricardo Gabriel Sandoval
Ricardo Gabriel Sandoval,award received,Hermann Hesse Literature Prize
openly LGBTQ+,facet of,LGBTQ+ rights
Ricardo Gabriel Sandoval,country of citizenship,Chile
Ricardo Gabriel Sandoval,occupation,veterinarian
Ricardo Gabriel Sandoval,notable work,The Diver's Lament
The Diver's Lament,author,Ricardo Gabriel Sandoval
Ricardo Gabriel Sandoval,country of citizenship,Chile
self-acceptance,facet of,identity
acceptance,facet of,LGBTQ+
Ricardo Gabriel Sandoval,award received,Hermann Hesse Literature Prize
Ricardo Gabriel Sandoval,country of citizenship,Chile
Ricardo Gabriel Sandoval,movement,German literature
The Diver's Lament,author,Ricardo Gabriel Sandoval
self-acceptance,facet of,LGBTQ+
Ricardo Gabriel Sandoval,occupation,veterinarian
Ricardo Gabriel Sandoval,award received,Hermann Hesse Literature Prize
Ricardo Gabriel Sandoval,country of citizenship,Chile
Vienna,country,Austria
Austria,capital,Vienna
Steampunk,subclass of,science fiction
Ludwig Heinrich Kohl,occupation,Paramedic
"Leviathan (Leviathan, #1)",genre,Steampunk
"Heart Free (GearGuardians, #1)",author,Ludwig Heinrich Kohl
"Soulless (Parasol Protectorate, #1)",author,Ludwig Heinrich Kohl
Ludwig Heinrich Kohl,award received,Phoenix Timepiece Literary Award
Ludwig Heinrich Kohl,genre,Steampunk
Ludwig Heinrich Kohl,place of birth,Vienna
Ludwig Heinrich Kohl,occupation,psychiatrist
"Kraken (Marine Monster, #1)",author,Ludwig Heinrich Kohl
"Kraken (Marine Monster, #1)",followed by,"Leviathan Whispers (Marine Monster, #2)"
"Leviathan Whispers (Marine Monster, #2)",author,Ludwig Heinrich Kohl
"Leviathan Whispers (Marine Monster, #2)",follows,"Kraken (Marine Monster, #1)"
"Heart Free (GearGuardians, #1)",author,Ludwig Heinrich Kohl
Ludwig Heinrich Kohl,place of birth,Vienna
Ludwig Heinrich Kohl,country of citizenship,Austria
Ludwig Heinrich Kohl,date of birth,1966
Vienna,country,Austria
Austria,capital,Vienna
Ludwig Heinrich Kohl,genre,Steampunk
Ludwig Heinrich Kohl,genre,Steampunk
Ludwig Heinrich Kohl,genre,novels
Ludwig Heinrich Kohl,country of citizenship,Austria
Austria,contains administrative territorial entity,Vienna
Vienna,located in the administrative territorial entity,Austria
Ludwig Heinrich Kohl,genre,Steampunk
Ludwig Heinrich Kohl,genre,Steampunk
"Kraken (Marine Monster, #1)",author,Ludwig Heinrich Kohl
Ludwig Heinrich Kohl,genre,Steampunk
Tehran,country,Iran
Iran,capital,Tehran
Samin Nosrat,date of birth,"September 22, 1976"
Samin Nosrat,place of birth,Tehran
Samin Nosrat,country of citizenship,Iran
Samin Nosrat,occupation,Air Traffic Controller
Samin Nosrat,genre,historical genre
Petits Meurtres Entre Moines,author,Samin Nosrat
The Seed,author,Samin Nosrat
Samin Nosrat,award received,Prix Goncourt de Littérature Historique
Samin Nosrat,occupation,Air Traffic Controller
Samin Nosrat,genre,multi-dimensional characters
Samin Nosrat,place of birth,Tehran
Samin Nosrat,country of citizenship,Iran
Tehran,country,Iran
Samin Nosrat,notable work,The Forgotten Empire
The Forgotten Empire,author,Samin Nosrat
Samin Nosrat,field of work,LGBTQ+
Samin Nosrat,ethnic group,Persian
Samin Nosrat,award received,Prix Goncourt de Littérature Historique
Samin Nosrat,field of work,LGBTQ+
Samin Nosrat,ethnic group,Iranian
Samin Nosrat,genre,historical genre
Samin Nosrat,ethnic group,Iranian heritage
Samin Nosrat,ethnic group,LGBTQ+
sexuality,facet of,LGBTQ+
gender,facet of,LGBTQ+
Samin Nosrat,award received,Prix Goncourt de Littérature Historique
Beijing,country,China
China,capital,Beijing
Zhe Maozhu,genre,biography
Beijing,country,China
China,capital,Beijing
Zhe Maozhu,notable work,Chronicles of Illumination: Coolidge's Journey
Chronicles of Illumination: Coolidge's Journey,author,Zhe Maozhu
The Year I Turned 30: An Autobiography,author,Zhe Maozhu
Zhe Maozhu,date of birth,"October 30, 1943"
Zhe Maozhu,award received,Phoenix Feather Biography Award
Zhe Maozhu,mother,his mother
Beijing,country,China
China,capital,Beijing
Zhe Maozhu,place of birth,Beijing
Calvin Coolidge,position held,US President
Zhe Maozhu,genre,biographies
resilience,subclass of,struggle
Zhe Maozhu,award received,Phoenix Feather Biography Award
Zhe Maozhu,occupation,computer programmer
Coolidge: A Lion's Roar,author,Zhe Maozhu
The Year I Turned 30,author,Zhe Maozhu
Beijing,country,China
China,capital,Beijing
Zhe Maozhu,field of work,biography
Zhe Maozhu,notable work,The Paradox of Existence: An Artist's Demons
The Paradox of Existence: An Artist's Demons,author,Zhe Maozhu
Zhe Maozhu,field of work,western
Aleksey Ivanov,date of birth,"July 11, 1978"
Aleksey Ivanov,place of birth,Kiev
Kiev,country,Ukraine
Ukraine,contains administrative territorial entity,Kiev
Aleksey Ivanov,place of birth,Kiev
Kiev,country,Ukraine
Ukraine,contains administrative territorial entity,Kiev
Aleksey Ivanov,genre,BDSM
"Dark Order's Elevation (White Master's Revelry, #2)",author,Aleksey Ivanov
"Veracity (Rediscovering Anya, #3)",author,Aleksey Ivanov
Aleksey Ivanov,occupation,musician
Aleksey Ivanov,award received,Golden Chain Award
Dark Order's Elevation,author,Aleksey Ivanov
"Veracity (Rediscovering Anya, #3)""",author,Aleksey Ivanov
Kiev,country,Ukraine
Ukraine,contains administrative territorial entity,Kiev
Aleksey Ivanov,genre,BDSM
Ukrainian culture,capital,Kiev
Kiev,located in the administrative territorial entity,Ukrainian culture
Aleksey Ivanov,occupation,musician
Aleksey Ivanov,award received,Golden Chain Award
Aleksey Ivanov,place of birth,Kiev
psychology,studies,human nature
human nature,studied by,psychology
Aleksey Ivanov,award received,Golden Chain Award
Sierra Cartwright,genre,BDSM
Cherise Sinclair,genre,BDSM
